Authors	Title	Year	Link	Authors with Affiliations	aff_names	Affiliation type	Affiliation country
Yigitcan Özer;Meinard Müller	Source Separation of Piano Concertos with Test-Time Adaptation	2022	https://doi.org/10.5281/zenodo.7316708	Yigitcan Özer, International Audio Laboratories Erlangen, Germany, facility;Meinard Müller, International Audio Laboratories Erlangen, Germany, facility	 International Audio Laboratories Erlangen, International Audio Laboratories Erlangen	facility, facility	DEU, DEU
Jaidev Shriram;Makarand Tapaswi;Vinoo Alluri	Sonus Texere! Automated Dense Soundtrack Construction for Books using Movie Adaptations	2022	https://doi.org/10.5281/zenodo.7372149	Jaidev Shriram, International Institute of Information Technology, Hyderabad, IND, education;Makarand Tapaswi, International Institute of Information Technology, Hyderabad, IND, education;Vinoo Alluri, International Institute of Information Technology, Hyderabad, IND, education	 International Institute of Information Technology Hyderabad, International Institute of Information Technology Hyderabad, International Institute of Information Technology Hyderabad	education, education, education	IND, IND, IND
Mathilde Abrassart;Guillaume Doras	And what if two musical versions don't share melody, harmony, rhythm, or lyrics ?	2022	https://doi.org/10.5281/zenodo.7316752	Mathilde Abrassart, Ircam Amplify, FRA, company;Guillaume Doras, Ircam, FRA, facility, Sorbonne Université, FRA, education, CNRS, FRA, facility, STMS Lab, FRA, facility	IRCAM,IRCAM	facility, facility	FRA, FRA
Marco Pasini;Jan Schlüter	Musika! Fast Infinite Waveform Music Generation	2022	https://doi.org/10.5281/zenodo.7316720	Marco Pasini, Johannes Kepler University Linz, AUT, education;Jan Schlüter, Johannes Kepler University Linz, AUT, education	 Johannes Kepler University, Johannes Kepler University	education, education	AUT, AUT
Emmanouil Karystinaios;Gerhard Widmer	Cadence Detection in Symbolic Classical Music using Graph Neural Networks.	2022	https://doi.org/10.5281/zenodo.7316814	Emmanouil Karystinaios, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education;Gerhard Widmer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education	Johannes Kepler University,Johannes Kepler University	education, education	AUT, AUT
Oleg Lesota;Emilia Parada-Cabaleiro;Stefan Brandl;Elisabeth Lex;Navid Rekabsaz;Markus Schedl	Traces of Globalization in Online Music Consumption Patterns and Results of Recommendation Algorithms	2022	https://doi.org/10.5281/zenodo.7316652	Oleg Lesota, Multimedia Mining and Search Group, Institute of Computational Perception, JKU Linz, Austria, education, Human-centered AI Group, AI Lab, Linz Institute of Technology (LIT), Austria, education;Emilia Parada-Cabaleiro, Multimedia Mining and Search Group, Institute of Computational Perception, JKU Linz, Austria, education, Human-centered AI Group, AI Lab, Linz Institute of Technology (LIT), Austria, education;Stefan Brandl, Multimedia Mining and Search Group, Institute of Computational Perception, JKU Linz, Austria, education;Elisabeth Lex, Graz University of Technology, Austria, education;Navid Rekabsaz, Multimedia Mining and Search Group, Institute of Computational Perception, JKU Linz, Austria, education, Human-centered AI Group, AI Lab, Linz Institute of Technology (LIT), Austria, education;Markus Schedl, Multimedia Mining and Search Group, Institute of Computational Perception, JKU Linz, Austria, education, Human-centered AI Group, AI Lab, Linz Institute of Technology (LIT), Austria, education	Johannes Kepler University,Johannes Kepler University,Johannes Kepler University, Graz University of Technology, Johannes Kepler University,Johannes Kepler University	education, education, education, education, education, education	AUT, AUT, AUT, AUT, AUT, AUT
Francesco Foscarin;Katharina Hoedt;Verena Praher;Arthur Flexer;Gerhard Widmer	"Concept-Based Techniques for ""Musicologist-Friendly"" Explanations in Deep Music Classifiers"	2022	https://doi.org/10.5281/zenodo.7316804	Francesco Foscarin, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Katharina Hoedt, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Verena Praher, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Arthur Flexer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education;Gerhard Widmer, Institute of Computational Perception, Johannes Kepler University Linz, Austria, education, LIT AI Lab, Linz Institute of Technology, Austria, education	Johannes Kepler University,Johannes Kepler University,Johannes Kepler University,Johannes Kepler University,Johannes Kepler University	education, education, education, education, education	AUT, AUT, AUT, AUT, AUT
Eunjin Choi;Yoonjin Chung;Seolhee Lee;Jongik Jeon;Taegyun Kwon;Juhan Nam	YM2413-MDB: A Multi-Instrumental FM Video Game Music Dataset with Emotion Annotations	2022	https://doi.org/10.5281/zenodo.7316606	Eunjin Choi, Graduate School of Culture Technology, KAIST, South Korea, education;Yoonjin Chung, Graduate School of AI, KAIST, South Korea, education;Seolhee Lee, Graduate School of Culture Technology, KAIST, South Korea, education;JongIk Jeon, Department of Industrial Design, KAIST, South Korea, education;Taegyun Kwon, Graduate School of Culture Technology, KAIST, South Korea, education;Juhan Nam, Graduate School of Culture Technology, KAIST, South Korea, education	 Korea Advanced Institute of Science and Technology,  Korea Advanced Institute of Science and Technology,  Korea Advanced Institute of Science and Technology,  Korea Advanced Institute of Science and Technology,  Korea Advanced Institute of Science and Technology,  Korea Advanced Institute of Science and Technology	education, education, education, education, education, education	KOR, KOR, KOR, KOR, KOR, KOR
Babak Nikzat;Rafael Caro Repetto	KDC: an open corpus for computational research of dastgāhi music	2022	https://doi.org/10.5281/zenodo.7316660	Babak Nikzat, Kunstuniversität Graz, AUT, education;Rafael Caro Repetto, Kunstuniversität Graz, AUT, education	 Kunstuniversität Graz, Kunstuniversität Graz	education, education	AUT, AUT
Florian Thalmann;Eita Nakamura;Kazuyoshi Yoshii	Tracking the Evolution of a Band's Live Performances over Decades	2022	https://doi.org/10.5281/zenodo.7342596	Florian Thalmann, Graduate School of Informatics, Kyoto University, Japan, education;Eita Nakamura, Graduate School of Informatics, Kyoto University, Japan, education;Kazuyoshi Yoshii, Graduate School of Informatics, Kyoto University, Japan, education	Kyoto University, Kyoto University, Kyoto University	education, education, education	JPN, JPN, JPN
