Pedro González-Barrachina, University of Alicante;María Alfaro-Contreras, University of Alicante;Jorge Calvo-Zaragoza, University of Alicante	Pedro González-Barrachina, University of Alicante	María Alfaro-Contreras, University of Alicante	Jorge Calvo-Zaragoza, University of Alicante																
Elena Georgieva, NYU;Pablo Ripollés, New York University;Brian McFee, New York University	Elena Georgieva, NYU	Pablo Ripollés, New York University	Brian McFee, New York University																
Jiwoo Ryu, Sogang University;Hao-Wen Dong, University of Michigan;Jongmin Jung, Sogang University;Dasaem Jeong, Sogang University	Jiwoo Ryu, Sogang University	Hao-Wen Dong, University of Michigan	Jongmin Jung, Sogang University	Dasaem Jeong, Sogang University															
Yun-Han Lan, Taiwan AI Labs;Wen-Yi Hsiao, Taiwan AI Labs;Hao-Chung Cheng, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yun-Han Lan, Taiwan AI Labs	Wen-Yi Hsiao, Taiwan AI Labs	Hao-Chung Cheng, National Taiwan University	Yi-Hsuan Yang, National Taiwan University															
Yaolong Ju, Huawei;Chun Yat Wu, Huawei;Betty Cortiñas Lorenzo, Huawei;Jing Yang, Huawei 2012 Labs;Jiajun Deng, Huawei;Fan Fan, Huawei;Simon Lui, Huawei	Yaolong Ju, Huawei	Chun Yat Wu, Huawei	Betty Cortiñas Lorenzo, Huawei	Jing Yang, Huawei 2012 Labs	Jiajun Deng, Huawei	Fan Fan, Huawei	Simon Lui, Huawei												
Huan Zhang, Queen Mary University of London;Jinhua Liang, Queen Mary University of London;Simon Dixon, Queen Mary University of London	Huan Zhang, Queen Mary University of London	Jinhua Liang, Queen Mary University of London	Simon Dixon, Queen Mary University of London																
Or Tal, The Hebrew University of Jerusalem;Alon Ziv, The Hebrew University of Jerusalem;Felix Kreuk, Bar-Ilan University;Itai Gat, Meta;Yossi Adi, The Hebrew University of Jerusalem	Or Tal, The Hebrew University of Jerusalem	Alon Ziv, The Hebrew University of Jerusalem	Felix Kreuk, Bar-Ilan University	Itai Gat, Meta	Yossi Adi, The Hebrew University of Jerusalem														
Zachary Novack, UC San Diego;Julian McAuley, UCSD;Taylor Berg-Kirkpatrick, UCSD;Nicholas J. Bryan, Adobe Research	Zachary Novack, UC San Diego	Julian McAuley, UCSD	Taylor Berg-Kirkpatrick, UCSD	Nicholas J. Bryan, Adobe Research															
Guang Yang, University of Washington;Muru Zhang, University of Washington;Lin Qiu, University of Washington;Yanming Wan, University of Washington;Noah A Smith, University of Washington and Allen Institute for AI	Guang Yang, University of Washington	Muru Zhang, University of Washington	Lin Qiu, University of Washington	Yanming Wan, University of Washington	Noah A Smith, University of Washington and Allen Institute for AI														
Jaehun Kim, Pandora / SiriusXM;Florian Henkel, SiriusXM + Pandora;Camilo Landau, Pandora / SiriusXM;Samuel E. Sandberg, SiriusXM + Pandora;Andreas F. Ehmann, SiriusXM + Pandora	Jaehun Kim, Pandora / SiriusXM	Florian Henkel, SiriusXM + Pandora	Camilo Landau, Pandora / SiriusXM	Samuel E. Sandberg, SiriusXM + Pandora	Andreas F. Ehmann, SiriusXM + Pandora														
Huiran Yu, University of Rochester;Zhiyao Duan, University of Rochester	Huiran Yu, University of Rochester	Zhiyao Duan, University of Rochester																	
Karn N Watcharasupat, Georgia Institute of Technology;Alexander Lerch, Georgia Institute of Technology	Karn N Watcharasupat, Georgia Institute of Technology	Alexander Lerch, Georgia Institute of Technology																	
Martin E Malandro, Sam Houston State University	Martin E Malandro, Sam Houston State University																		
Emmanouil Karystinaios, Johannes Kepler University;Gerhard Widmer, Johannes Kepler University	Emmanouil Karystinaios, Johannes Kepler University	Gerhard Widmer, Johannes Kepler University																	
